iter	Passed	Remaining
888	14161	1768
889	14177	1752
890	14190	1736
891	14205	1719
892	14216	1703
893	14230	1687
894	14247	1671
895	14263	1655
896	14279	1639
897	14301	1624
898	14315	1608
899	14330	1592
900	14344	1576
901	14360	1560
902	14375	1544
903	14389	1528
904	14402	1511
905	14417	1495
906	14430	1479
907	14445	1463
908	14462	1447
909	14479	1432
910	14496	1416
911	14512	1400
912	14530	1384
913	14544	1368
914	14559	1352
915	14575	1336
916	14588	1320
917	14601	1304
918	14616	1288
919	14632	1272
920	14652	1256
921	14679	1241
922	14703	1226
923	14722	1210
924	14744	1195
925	14764	1179
926	14781	1164
927	14794	1147
928	14811	1132
929	14831	1116
930	14850	1100
931	14868	1084
932	14884	1068
933	14901	1052
934	14916	1036
935	14937	1021
936	14954	1005
937	14970	989
938	14988	973
939	15003	957
940	15018	941
941	15033	925
942	15049	909
943	15064	893
944	15081	877
945	15097	861
946	15115	845
947	15130	829
948	15148	814
949	15165	798
950	15181	782
951	15197	766
952	15213	750
953	15229	734
954	15243	718
955	15260	702
956	15275	686
957	15292	670
958	15308	654
959	15324	638
960	15342	622
961	15362	606
962	15380	590
963	15398	575
964	15414	559
965	15431	543
966	15447	527
967	15462	511
968	15478	495
969	15492	479
970	15508	463
971	15523	447
972	15540	431
973	15558	415
974	15576	399
975	15597	383
976	15612	367
977	15628	351
978	15646	335
979	15661	319
980	15676	303
981	15689	287
982	15703	271
983	15720	255
984	15735	239
985	15755	223
986	15772	207
987	15791	191
988	15810	175
989	15827	159
990	15845	143
991	15861	127
992	15877	111
993	15893	95
994	15909	79
995	15923	63
996	15938	47
997	15953	31
998	15973	15
999	15990	0
