iter	RMSE
703	29320.57767
704	29317.05486
705	29312.49712
706	29291.30967
707	29288.01882
708	29282.89027
709	29273.99638
710	29271.66689
711	29266.95087
712	29263.31025
713	29261.82575
714	29258.76633
715	29255.2242
716	29247.72337
717	29242.19475
718	29236.31501
719	29232.12417
720	29229.3235
721	29222.61555
722	29218.69206
723	29212.85139
724	29207.8255
725	29203.35629
726	29186.99322
727	29183.3278
728	29178.27854
729	29173.9855
730	29169.2781
731	29163.99111
732	29153.95404
733	29148.55678
734	29145.62239
735	29140.35769
736	29129.41549
737	29126.83789
738	29121.59203
739	29118.42767
740	29112.24626
741	29108.13
742	29106.2209
743	29102.18892
744	29097.57689
745	29095.61093
746	29091.54314
747	29089.24335
748	29083.51477
749	29079.06771
750	29074.81279
751	29072.23811
752	29065.08896
753	29061.37241
754	29057.47506
755	29051.17524
756	29046.43576
757	29041.55573
758	29025.09865
759	29022.23759
760	28993.79492
761	28991.5751
762	28988.08743
763	28981.41832
764	28977.18895
765	28966.45958
766	28964.00207
767	28961.67859
768	28959.38177
769	28954.63269
770	28951.78471
771	28949.22503
772	28947.71361
773	28945.46987
774	28941.83323
775	28938.47403
776	28934.37366
777	28932.30055
778	28926.92638
779	28920.24476
780	28911.19375
781	28909.69709
782	28908.37071
783	28906.28521
784	28900.59852
785	28897.04137
786	28892.93825
787	28890.99231
788	28885.06167
789	28881.82424
790	28874.4066
791	28868.70754
792	28865.03262
793	28861.41662
794	28859.08206
795	28852.38349
796	28849.46556
797	28841.7342
798	28839.29593
799	28835.39097
800	28832.87495
801	28831.29858
802	28828.89328
803	28825.0592
804	28822.73924
805	28821.31599
806	28811.19271
807	28804.0547
808	28801.7487
809	28800.73897
810	28795.18216
811	28792.36148
812	28773.27533
813	28771.52992
814	28766.47206
815	28761.30003
816	28755.46725
817	28751.2532
818	28731.61889
819	28725.30909
820	28722.39207
821	28708.91874
822	28707.70017
823	28702.0451
824	28697.37026
825	28691.45988
826	28688.90484
827	28684.54339
828	28681.78785
829	28679.38976
830	28675.10042
831	28671.14562
832	28647.63896
833	28644.33521
834	28640.84485
835	28637.04595
836	28635.85146
837	28633.92748
838	28629.54414
839	28626.90668
840	28623.02974
841	28614.34635
842	28604.68821
843	28599.05201
844	28598.86977
845	28597.69333
846	28592.18759
847	28577.79282
848	28575.9803
849	28572.2946
850	28567.15586
851	28563.44457
852	28559.56545
853	28555.28436
854	28550.23127
855	28550.06446
856	28549.90663
857	28543.49989
858	28537.43272
859	28534.14677
860	28528.60477
861	28526.45972
862	28521.63505
863	28518.47032
864	28514.074
865	28510.44565
866	28506.66354
867	28502.77264
868	28499.72026
869	28497.94178
870	28494.52238
871	28491.76723
872	28483.98988
873	28480.42846
874	28478.5984
875	28476.57381
876	28470.78908
877	28468.45766
878	28465.42894
879	28457.31532
880	28455.21795
881	28451.80831
882	28447.42261
883	28442.24813
884	28438.0204
885	28433.28842
886	28425.93993
887	28422.47769
888	28419.8801
889	28415.77711
890	28413.87671
891	28410.90036
892	28403.88817
893	28398.24872
894	28396.59561
895	28395.27208
896	28391.99022
897	28387.2299
898	28384.45894
899	28382.9172
900	28377.55643
901	28371.72455
902	28368.51395
903	28362.7994
904	28356.80325
905	28351.67687
906	28350.13619
907	28346.20256
908	28344.27732
909	28341.82328
910	28337.51143
911	28334.35862
912	28331.61228
913	28326.24288
914	28321.67963
915	28315.83546
916	28314.41943
917	28310.25764
918	28308.2796
919	28306.83046
920	28302.25897
921	28298.74118
922	28295.2695
923	28291.43335
924	28290.5088
925	28277.50528
926	28272.94815
927	28272.80775
928	28266.14674
929	28260.75435
930	28256.93563
931	28242.24275
932	28237.25142
933	28232.64263
934	28229.78871
935	28225.17745
936	28221.34793
937	28219.31744
938	28212.2708
939	28211.15888
940	28198.55221
941	28191.25453
942	28183.45532
943	28183.10658
944	28180.6875
945	28176.75862
946	28173.82111
947	28171.91537
948	28170.19179
949	28168.47482
950	28168.33307
951	28165.9396
952	28163.62936
953	28161.91632
954	28159.15188
955	28155.73311
956	28145.91068
957	28143.67675
958	28138.28604
959	28127.39473
960	28125.25133
961	28120.95135
962	28117.4696
963	28115.58548
964	28109.33945
965	28107.66567
966	28105.39348
967	28102.60319
968	28099.26383
969	28094.93205
970	28090.09317
971	28085.31454
972	28083.15264
973	28078.87122
974	28070.48658
975	28060.97507
976	28055.22584
977	28050.9816
978	28045.99351
979	28040.67199
980	28037.33401
981	28035.69152
982	28030.04813
983	28023.18518
984	28015.5491
985	28010.39841
986	28008.95357
987	28005.50922
988	27999.96818
989	27998.1011
990	27993.51956
991	27991.10993
992	27986.03042
993	27984.55453
994	27977.7492
995	27974.8698
996	27962.39465
997	27951.5605
998	27949.06038
999	27937.88915
